group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x2,y4,,0,,,,0,,,,
x3,y4,,0,,,,0,,,,
x4,y4,,0,,,,0,,,,
x5,y4,3916,-40,杜鎬,杜鎬 (3916) - Grandfather,,0,,,,
x6,y4,,0,,,,0,,,,
x7,y4,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,21168,-100,杜渥,杜渥 (21168) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x2,y2,21167,40,杜炤,杜炤 (21167) - Only son,,0,,,,
x3,y2,7074,-20,杜樞,杜樞 (7074) - Younger brother,,0,,,,
x4,y2,1725,-20,杜植,杜植 (1725) - Elder brother,,2,宋,0,0,
x5,y2,1722,100,杜杞,杜杞 (1722) - Ego,entry,8,宋,1005,1050,恩蔭(籠統)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,5070,20,杜氏(李竦妻),杜氏(李竦妻) (5070) - Daughter,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,3924,40,杜煒,杜煒 (3924) - Nephew (brother's son),,0,,,,
x7,y1,1087,20,李竦,李竦 (1087) - Son-in-law,,5,宋,0,0,
