group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,3248,-100,周詵,周詵 (3248) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,12138,60,尚佐均,尚佐均 (12138) - Father-in-law (wife's father),,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,,0,,,,0,,,,
x5,y2,612,100,周利見,周利見 (612) - Ego,entry,8,宋,1098,1152,科舉: 進士(籠統) (1118)
x6,y2,5201,-80,尚氏(周利見妻),尚氏(周利見妻) (5201) - Wife,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x3,y1,7197,40,周必大,周必大 (7197) - Nephew (brother's son),,0,,,,
x4,y1,12135,20,呂坦中,呂坦中 (12135) - Son-in-law,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,22862,40,周必達,周必達 (22862) - First son,,0,,,,
x7,y1,3246,40,周必端,周必端 (3246) - Second son,,0,,,,
x8,y1,12134,40,周必正,周必正 (12134) - Third son,,0,,,,
