group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,12339,-100,晏固,晏固 (12339) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x9,y3,,0,,,,0,,,,
x1,y2,4118,-20,晏防,晏防 (4118) - Cousin's son,,0,,,,
x2,y2,2072,40,晏知止,晏知止 (2072) - Fourth son,,3,宋,0,0,科舉: 進士(籠統) (1049)
x3,y2,12340,-20,晏穎,晏穎 (12340) - Younger brother,,0,,,,
x4,y2,3504,-20,李虛己,李虛己 (3504) - First wife's father,,0,,,,
x5,y2,2073,100,晏殊,晏殊 (2073) - Ego,entry,27,宋,991,1055,科舉: 進士(籠統) (1005)
x6,y2,45155,-80,孟氏(晏殊妻),孟氏(晏殊妻) (45155) - Wife,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,25322,40,李亢,李亢 (25322) - Nephew (sister's son),,0,,,,
x2,y1,628,20,富弼,富弼 (628) - Son-in-law,,15,宋,1004,1083,科舉: 制舉 (籠統) (1030)
x3,y1,1994,20,楊察,楊察 (1994) - Son-in-law,,5,宋,1011,1056,科舉: 進士(籠統) (1034)
x4,y1,22358,20,吳D,吳D (22358) - Son-in-law,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,4144,40,晏成裕,晏成裕 (4144) - Second son,,0,,,,
x7,y1,12346,40,晏紳,晏紳 (12346) - Grandson,,0,,,,
x8,y1,2074,40,晏敦復,晏敦復 (2074) - Great-grandson,,3,宋,1075,1145,科舉: 進士(籠統) (1109)
x9,y1,4119,40,晏孝稱,晏孝稱 (4119) - Great-grandson,,0,,,,
