group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y2,,0,,,,0,,,,
x4,y2,,0,,,,0,,,,
x5,y2,990,100,李積中,李積中 (990) - Ego,entry,5,宋,0,0,科舉: 正奏名進士 (1079)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x3,y1,13013,40,李安國,李安國 (13013) - Son,,0,,,,
x4,y1,3533,40,李大性,李大性 (3533) - Grandson,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,3534,40,李大異,李大異 (3534) - Grandson,,0,,,,
x7,y1,7041,40,李大理,李大理 (7041) - Grandson,,0,,,,
x8,y1,19587,40,李大東,李大東 (19587) - Grandson,,0,,,,
