group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,851,-100,黃廉,黃廉 (851) - Father,,7,宋,,,科舉: 進士(籠統) (1061)
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x3,y2,13069,-20,李萃,李萃 (13069) - Second wife's father,,0,,,,
x4,y2,971,-20,李常,李常 (971) - First wife's father,,13,宋,1027,1090,科舉: 進士(籠統) (1049)
x5,y2,856,100,黃叔敖,黃叔敖 (856) - Ego,entry,7,宋,0,0,科舉: 進士(籠統) (1091)
x6,y2,5057,-20,李蒙,李蒙 (5057) - First wife,,0,,,,
x7,y2,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,13058,40,黃虨,黃虨 (13058) - Son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,13076,40,黃埜,黃埜 (13076) - Son,,0,,,,
x7,y1,20758,40,黃掞,黃掞 (20758) - Grandson,,0,,,,
