group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y4,,0,,,,0,,,,
x2,y4,,0,,,,0,,,,
x3,y4,,0,,,,0,,,,
x4,y4,,0,,,,0,,,,
x5,y4,3182,-40,章A,章A (3182) - Maternal grandfather,,0,,,,
x6,y4,,0,,,,0,,,,
x7,y4,,0,,,,0,,,,
x8,y4,,0,,,,0,,,,
x9,y4,,0,,,,0,,,,
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,12417,-100,張,張 (12417) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,1949,60,魏羽,魏羽 (1949) - Father-in-law (wife's father),,8,宋,,,薦舉 (保任)
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x9,y3,,0,,,,0,,,,
x1,y2,,0,,,,0,,,,
x2,y2,1502,40,蘇液,蘇液 (1502) - Granddaughter's husband,,4,宋,0,0,
x3,y2,7097,-20,楊億,楊億 (7097) - Wife's brother,,0,,,,
x4,y2,1945,-20,魏瓘,魏瓘 (1945) - Wife's brother,,9,宋,,,恩蔭(籠統)
x5,y2,262,100,張沔,張沔 (262) - Ego,entry,19,宋,983,1060,科舉: 正奏名進士 (1008)
x6,y2,5012,-80,魏氏(張沔妻),魏氏(張沔妻) (5012) - Wife,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,233,40,張詢,張詢 (233) - Nephew (brother's son),,4,宋,0,0,科舉: 進士(籠統) (1059)
x2,y1,3148,40,張誼,張誼 (3148) - Nephew (brother's son),,0,,,,
x3,y1,3846,20,刁維,刁維 (3846) - Son-in-law,,0,,,,
x4,y1,7250,20,胡湘,胡湘 (7250) - Son-in-law,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,7316,20,邊球,邊球 (7316) - Son-in-law,,0,,,,
x7,y1,7317,20,邊肅,邊肅 (7317) - Son-in-law,,0,,,,
x8,y1,7336,20,石元之,石元之 (7336) - Son-in-law,,0,,,,
x9,y1,7011,40,張諷,張諷 (7011) - First son,,0,,,,
