group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,22191,60,高繼冲,高繼冲 (22191) - Father-in-law (wife's father),,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,,0,,,,0,,,,
x5,y2,1557,100,宋琪,宋琪 (1557) - Ego,entry,5,宋,917,996,科舉: 進士(籠統) (941)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x3,y1,18366,40,宋貽序,宋貽序 (18366) - First son,,0,,,,
x4,y1,18367,40,宋貽庥,宋貽庥 (18367) - Second son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,119985,40,宋貽廣,宋貽廣 (119985) - Third son,,0,,,,
x7,y1,18419,40,宋宗諒,宋宗諒 (18419) - Grandson,,0,,,,
