group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y2,,0,,,,0,,,,
x2,y2,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,,0,,,,0,,,,
x5,y2,1031,100,李欣,李欣 (1031) - Ego,entry,8,宋,0,0,科舉: 進士(籠統) (983)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,16976,40,李昂,李昂 (16976) - Son,,0,,,,
x2,y1,16977,40,李冕,李冕 (16977) - Son,,0,,,,
x3,y1,16978,40,李昭用,李昭用 (16978) - Grandson,,0,,,,
x4,y1,16979,40,李昭物,李昭物 (16979) - Grandson,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,16980,40,李昭文,李昭文 (16980) - Grandson,,0,,,,
x7,y1,16981,40,李昭遠,李昭遠 (16981) - Grandson,,0,,,,
x8,y1,16982,40,李昭逢,李昭逢 (16982) - Grandson,,0,,,,
x9,y1,16983,40,李昭素,李昭素 (16983) - Grandson,,0,,,,
