group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,15440,-100,程拊,程拊 (15440) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,49122,-100,程柟,程柟 (49122) - Father,,0,,,,
x7,y3,49123,-40,金氏(程柟妻),金氏(程柟妻) (49123) - Mother,,0,,,,
x8,y3,,0,,,,0,,,,
x2,y2,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,15444,40,程宏濟,程宏濟 (15444) - Eldest surviving son,,0,,,,
x5,y2,128,100,程瑀,程瑀 (128) - Ego,entry,11,宋,1087,1152,學校: 上舍及第 (1116)
x6,y2,49124,-80,沈氏(程瑀妻),沈氏(程瑀妻) (49124) - Wife,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x2,y1,15445,40,程宏圖,程宏圖 (15445) - Nephew (brother's son),,0,,,,
x3,y1,15446,40,程宏遠,程宏遠 (15446) - Nephew (brother's son),,0,,,,
x4,y1,13941,20,臧栯,臧栯 (13941) - Son-in-law,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,13943,20,臧桶,臧桶 (13943) - Son-in-law,,0,,,,
x7,y1,18883,20,胡璪,胡璪 (18883) - Son-in-law,,0,,,,
x8,y1,15441,40,程有俊,程有俊 (15441) - Grandson,,0,,,,
