group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,12753,-100,鄭文遂,鄭文遂 (12753) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,7037,60,李昌言,李昌言 (7037) - Father-in-law (wife's father),,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x1,y2,12755,40,鄭民度,鄭民度 (12755) - Fourth son,,0,,,,
x2,y2,12754,-20,鄭戭,鄭戭 (12754) - Younger brother,,0,,,,
x3,y2,8179,-20,鄭戡,鄭戡 (8179) - Younger brother,,0,,,,
x4,y2,425,-20,鄭載,鄭載 (425) - Elder brother,,5,宋,0,0,科舉: 進士(籠統) (1000)
x5,y2,411,100,鄭戩,鄭戩 (411) - Ego,entry,12,宋,992,1053,科舉: 正奏名進士 (1024)
x6,y2,5028,-80,李氏(鄭戩妻),李氏(鄭戩妻) (5028) - Wife,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x1,y1,,0,,,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,1315,20,呂公孺,呂公孺 (1315) - Son-in-law,,8,宋,,,科舉學校: 恩賜出身、特賜出身等
x4,y1,1845,20,王珪,王珪 (1845) - Son-in-law,,30,宋,1019,1085,科舉: 進士(籠統) (1042)
x5,y1,,0,,,,0,,,,
x6,y1,7186,40,鄭民彝,鄭民彝 (7186) - First son,,0,,,,
x7,y1,12757,40,鄭時,鄭時 (12757) - Grandson,,0,,,,
x8,y1,121530,40,鄭凝之,鄭凝之 (121530) - Grandson,,0,,,,
