group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x4,y3,,0,,,,0,,,,
x5,y3,18570,-100,辛藩,辛藩 (18570) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x4,y2,18572,40,辛若渝,辛若渝 (18572) - Fifth son,,0,,,,
x5,y2,737,100,辛仲甫,辛仲甫 (737) - Ego,entry,5,宋,927,1000,薦舉 (保任) (952)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x4,y1,18571,40,辛若冲,辛若冲 (18571) - First son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,119565,40,辛若虛,辛若虛 (119565) - Second son,,0,,,,
x7,y1,119566,40,辛若蒙,辛若蒙 (119566) - Third son,,0,,,,
