group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,8049,-100,韓億,韓億 (8049) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,118,60,程琳,程琳 (118) - Father-in-law (wife's father),,14,宋,988,1056,科舉: 進士(籠統) (1011)
x7,y3,,0,,,,0,,,,
x1,y2,16869,-20,韓綱,韓綱 (16869) - Elder brother,,0,,,,
x2,y2,8051,-20,韓維,韓維 (8051) - Elder brother,,0,,,,
x3,y2,657,-20,韓綜,韓綜 (657) - Elder brother,,14,宋,1009,1053,科舉: 進士(籠統) (1030)
x4,y2,636,-20,韓絳,韓絳 (636) - Elder brother,,16,宋,1012,1088,科舉: 進士(籠統) (1042)
x5,y2,634,100,韓縝,韓縝 (634) - Ego,entry,13,宋,1019,1097,科舉: 進士(籠統) (1042)
x6,y2,5038,-80,程氏(韓縝妻),程氏(韓縝妻) (5038) - Wife,,0,,,,
x7,y2,,0,,,,0,,,,
x1,y1,,0,,,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,662,40,韓宗師,韓宗師 (662) - Nephew (brother's son),,6,宋,0,1098,科舉: 進士(籠統)
x4,y1,16871,40,韓宗恕,韓宗恕 (16871) - First son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,16820,40,韓宗武,韓宗武 (16820) - Second son,,0,,,,
x7,y1,633,40,韓昭,韓昭 (633) - Great-grandson,,1,宋,0,0,
