group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,651,-100,韓國華,韓國華 (651) - Father,,18,宋,,,科舉: 進士(籠統) (977)
x5,y3,,0,,,,0,,,,
x6,y3,17730,60,崔立,崔立 (17730) - Father-in-law (wife's father),,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x9,y3,,0,,,,0,,,,
x1,y2,7031,40,韓純彥,韓純彥 (7031) - Fourth son,,0,,,,
x2,y2,656,40,韓粹彥,韓粹彥 (656) - Fourth son,,6,宋,1065,1118,恩蔭(籠統)
x3,y2,982,20,李清臣,李清臣 (982) - Niece's husband,,19,宋,1032,1102,科舉: 制舉 (籠統) (1053)
x4,y2,642,-20,韓琚,韓琚 (642) - Elder brother,,4,宋,989,1040,科舉: 進士(籠統) (1015)
x5,y2,630,100,韓琦,韓琦 (630) - Ego,entry,24,宋,1008,1075,科舉: 進士(籠統) (1027)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,3325,40,韓公彥,韓公彥 (3325) - Nephew (brother's son),,0,,,,
x2,y1,4162,20,吳C,吳C (4162) - Son-in-law,,0,,,,
x3,y1,644,40,韓忠彥,韓忠彥 (644) - First son,,26,宋,1038,1109,科舉: 進士(籠統)
x4,y1,17801,40,韓端彥,韓端彥 (17801) - Second son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,17799,40,韓浩,韓浩 (17799) - Grandson,,0,,,,
x7,y1,17804,40,韓誠,韓誠 (17804) - Grandson,,0,,,,
x8,y1,26705,40,韓B,韓B (26705) - Grandson,,0,,,,
x9,y1,646,40,韓肖胄,韓肖胄 (646) - Great-grandson,,10,宋,,,恩蔭(籠統)
