group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,19492,-100,郭悅,郭悅 (19492) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x1,y2,36415,20,李奎,李奎 (36415) - Second daughter's husband,,0,,,,
x2,y2,36414,20,賈行先,賈行先 (36414) - First daughter's husband,,0,,,,
x3,y2,19494,-20,吳有鄰,吳有鄰 (19494) - Third wife's father,,0,,,,
x4,y2,15143,-20,陳希古,陳希古 (15143) - Second wife's father,,0,,,,
x5,y2,956,100,郭申錫,郭申錫 (956) - Ego,entry,13,宋,998,1074,科舉: 進士(籠統) (1030)
x6,y2,5064,-20,陳氏(郭申錫妻),陳氏(郭申錫妻) (5064) - Second wife,,0,,,,
x7,y2,30400,-20,吳嗣真,吳嗣真 (30400) - Third wife,,0,,,,
x1,y1,,0,,,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,36411,40,郭仁約,郭仁約 (36411) - Son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,36412,40,郭奉禮,郭奉禮 (36412) - Son,,0,,,,
x7,y1,36413,40,郭禮立,郭禮立 (36413) - Son,,0,,,,
