group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,7402,-100,葉參,葉參 (7402) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,2054,40,葉夢得,葉夢得 (2054) - Great-grand-nephew,,14,宋,1077,1148,科舉: 進士(籠統) (1097)
x5,y2,2045,100,葉清臣,葉清臣 (2045) - Ego,entry,7,宋,1000,1049,科舉: 正奏名進士 (1024)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x3,y1,2048,40,葉曦叟,葉曦叟 (2048) - Nephew (brother's son),,2,宋,0,0,
x4,y1,2057,40,葉溫叟,葉溫叟 (2057) - Nephew (brother's son),,2,宋,0,0,科舉: 進士(籠統) (1057)
x5,y1,,0,,,,0,,,,
x6,y1,4070,40,葉義叟,葉義叟 (4070) - Nephew (brother's son),,0,,,,
x7,y1,2046,40,葉均,葉均 (2046) - Son,,1,宋,0,0,
x8,y1,7186,20,鄭民彝,鄭民彝 (7186) - Son-in-law,,0,,,,
