group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x4,y4,,0,,,,0,,,,
x5,y4,119930,-40,張裕,張裕 (119930) - Grandfather,,0,,,,
x6,y4,,0,,,,0,,,,
x4,y3,185,-100,張去華,張去華 (185) - Father,,18,宋,938,1006,科舉: 進士(籠統) (961)
x5,y3,,0,,,,0,,,,
x6,y3,8076,60,李沆,李沆 (8076) - Father-in-law (wife's father),,0,,,,
x4,y2,282,-20,張師顏,張師顏 (282) - Brother,,3,宋,0,0,
x5,y2,280,100,張師德,張師德 (280) - Ego,entry,6,宋,0,0,科舉: 進士(籠統) (1011)
x6,y2,,0,,,,0,,,,
x4,y1,119968,40,張中憲,張中憲 (119968) - Son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,205,40,張景憲,張景憲 (205) - Second son,,9,宋,1004,1080,恩蔭: 遺表蔭補 (1026)
