group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,18260,-100,任曉,任曉 (18260) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x9,y3,,0,,,,0,,,,
x1,y2,,0,,,,0,,,,
x2,y2,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,18269,40,仲煥,仲煥 (18269) - Granddaughter's husband,,0,,,,
x5,y2,874,100,任顓,任顓 (874) - Ego,entry,10,宋,990,1067,科舉: 進士(籠統)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,5123,20,任氏(曾諶母),任氏(曾諶母) (5123) - Daughter,,0,,,,
x2,y1,18267,40,任膺,任膺 (18267) - Nephew (brother's son),,0,,,,
x3,y1,3905,20,曾孝章,曾孝章 (3905) - Son-in-law,,0,,,,
x4,y1,18292,20,董澤,董澤 (18292) - Son-in-law,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,18261,40,任庾,任庾 (18261) - First son,,0,,,,
x7,y1,18262,40,任廙,任廙 (18262) - Second son,,0,,,,
x8,y1,18272,40,任廓,任廓 (18272) - Third son,,0,,,,
x9,y1,18273,40,任古,任古 (18273) - Great-great-grandson,,0,,,,
