group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y4,,0,,,,0,,,,
x4,y4,,0,,,,0,,,,
x5,y4,12425,-40,張藏英,張藏英 (12425) - Grandfather,,0,,,,
x6,y4,,0,,,,0,,,,
x7,y4,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,12426,-100,張裔,張裔 (12426) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,,0,,,,0,,,,
x5,y2,198,100,張鑑,張鑑 (198) - Ego,entry,6,宋,947,1004,科舉: 進士(籠統) (978)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x3,y1,12429,40,張士壽,張士壽 (12429) - Son,,0,,,,
x4,y1,12427,40,張士廉,張士廉 (12427) - First son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,3159,40,張士宗,張士宗 (3159) - Second son,,0,,,,
x7,y1,12428,40,張士程,張士程 (12428) - Third son,,0,,,,
