group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x4,y3,,0,,,,0,,,,
x5,y3,11845,-100,湯忱,湯忱 (11845) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x4,y2,1134,-20,梁汝嘉,梁汝嘉 (1134) - Wife's grandfather,,10,宋,1096,1154,恩蔭(籠統)
x5,y2,1590,100,湯鵬舉,湯鵬舉 (1590) - Ego,entry,5,宋,1088,1165,科舉: 進士(籠統) (1118)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x4,y1,11846,40,湯廷直,湯廷直 (11846) - Son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,3820,40,湯宋彥,湯宋彥 (3820) - Grandson,,0,,,,
x7,y1,11847,40,湯邦彥,湯邦彥 (11847) - Grandson,,0,,,,
