group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,17870,-100,唐A,唐A (17870) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,808,60,薛田,薛田 (808) - Father-in-law (wife's father),,4,宋,0,0,科舉: 進士(籠統)
x7,y3,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,,0,,,,0,,,,
x5,y2,1600,100,唐肅,唐肅 (1600) - Ego,entry,6,宋,0,1030,科舉: 正奏名進士 (998)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x3,y1,7109,20,薛儀,薛儀 (7109) - Son-in-law,,0,,,,
x4,y1,1595,40,唐詢,唐詢 (1595) - First son,,4,宋,1005,1064,科舉: 制舉 (籠統) (1027)
x5,y1,,0,,,,0,,,,
x6,y1,17871,40,唐詔,唐詔 (17871) - Second son,,0,,,,
x7,y1,17872,40,唐諲,唐諲 (17872) - Third son,,0,,,,
