group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,3321,-100,韓直彥,韓直彥 (3321) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x3,y2,560,-20,范純禮,范純禮 (560) - Second wife's father,,7,宋,1031,1106,恩蔭(籠統)
x4,y2,7002,-20,晁仲徽,晁仲徽 (7002) - First wife's father,,0,,,,
x5,y2,631,100,韓跂,韓跂 (631) - Ego,entry,5,宋,1052,1115,恩蔭(籠統)
x6,y2,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,52485,40,韓俊冑,韓俊冑 (52485) - Nephew (brother's son),,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,17742,20,晁明之,晁明之 (17742) - Son-in-law,,0,,,,
