group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,1207,-100,劉立之,劉立之 (1207) - Father,,9,宋,,,科舉: 進士(籠統) (1008)
x5,y3,,0,,,,0,,,,
x6,y3,657,60,韓綜,韓綜 (657) - Father-in-law (wife's father),,14,宋,1009,1053,科舉: 進士(籠統) (1030)
x7,y3,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,3580,-20,劉敞,劉敞 (3580) - Elder brother,,0,,,,
x5,y2,1220,100,劉攽,劉攽 (1220) - Ego,entry,8,宋,,,科舉: 進士(籠統) (1046)
x6,y2,51724,-80,韓氏(劉攽妻),韓氏(劉攽妻) (51724) - Wife,,0,,,,
x7,y2,,0,,,,0,,,,
x3,y1,1195,40,劉奉世,劉奉世 (1195) - Nephew (brother's son),,4,宋,1041,1113,科舉: 進士(籠統)
x4,y1,7292,40,劉方山,劉方山 (7292) - Son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,13247,40,劉龜年,劉龜年 (13247) - Great-grandson,,0,,,,
x7,y1,13248,40,劉龜從,劉龜從 (13248) - Great-grandson,,0,,,,
