group,variable,personID,value,text,info,entry,assoc_num
x1,y4,,0,,,,0
x2,y4,,0,,,,0
x3,y4,,0,,,,0
x4,y4,50133,-100,吳某,吳某 (50133) - Maternal grandfather's father,,1
x5,y4,,0,,,,0
x6,y4,,0,,,,0
x7,y4,,0,,,,0
x8,y4,,0,,,,0
x9,y4,,0,,,,0
x1,y3,,0,,,,0
x2,y3,,0,,,,0
x3,y3,,0,,,,0
x4,y3,50134,-20,吳蒙,吳蒙 (50134) - Maternal grandfather's brother,,1
x5,y3,4020,100,吳蕡,吳蕡 (4020) - Maternal grandfather,,3
x6,y3,50050,-80,陳氏,陳氏 (50050) - Maternal grandfather's spouse,,1
x7,y3,,0,,,,0
x8,y3,,0,,,,0
x9,y3,,0,,,,0
x1,y2,,0,,,,0
x2,y2,,0,,,,0
x3,y2,,0,,,,0
x4,y2,,0,,,,0
x5,y2,5134,20,吳氏,吳氏 (5134) - Mother,,2
x6,y2,7082,60,王益,王益 (7082) - Father,,5
x7,y2,,0,,,,0
x8,y2,,0,,,,0
x9,y2,,0,,,,0
x1,y1,7076,20,王安國,王安國 (7076) - Brother,,4
x2,y1,21944,20,王安仁,王安仁 (21944) - Brother,,1
x3,y1,1760,20,王安禮,王安禮 (1760) - Brother,,6
x4,y1,,0,,,,0
x5,y1,1762,20,王安石,王安石 (1762) - Ego,entry,15
x6,y1,,0,,,,0
x7,y1,,0,,,,0
x8,y1,,0,,,,0
x9,y1,,0,,,,0
