group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,25745,-100,方諮,方諮 (25745) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,3297,-20,方儀,方儀 (3297) - Uncle (father's brother),,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x9,y3,,0,,,,0,,,,
x1,y2,11210,-20,方慎交,方慎交 (11210) - Younger cousin (paternal),,0,,,,
x2,y2,3299,-20,方慎從,方慎從 (3299) - Younger brother,,0,,,,
x3,y2,11294,-20,方謹微,方謹微 (11294) - Cousin (father's brother's son),,0,,,,
x4,y2,3300,-20,方慎德,方慎德 (3300) - Cousin (father's brother's son),,0,,,,
x5,y2,600,100,方慎言,方慎言 (600) - Ego,entry,20,宋,0,0,科舉: 進士(籠統) (1000)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,11211,40,方蓁,方蓁 (11211) - Nephew (brother's son),,0,,,,
x2,y1,11215,40,方演,方演 (11215) - Nephew (brother's son),,0,,,,
x3,y1,11217,40,方溱,方溱 (11217) - Nephew (brother's son),,0,,,,
x4,y1,11218,40,方濬,方濬 (11218) - Nephew (brother's son),,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,11220,40,方禴,方禴 (11220) - Nephew (brother's son),,0,,,,
x7,y1,11242,40,方里,方里 (11242) - Nephew (brother's son),,0,,,,
x8,y1,11214,40,方通,方通 (11214) - Grandson,,0,,,,
x9,y1,11286,40,方軫,方軫 (11286) - Great-grandson,,0,,,,
