group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,1783,-100,王贄,王贄 (1783) - Father,,7,宋,0,0,
x5,y3,,0,,,,0,,,,
x6,y3,1633,60,狄棐,狄棐 (1633) - Father-in-law (wife's father),,11,宋,977,1043,科舉: 進士(籠統) (1000)
x2,y2,429,40,鄭佑,鄭佑 (429) - Granddaughter's husband,,2,宋,0,0,
x3,y2,13515,-20,王準,王準 (13515) - Elder brother,,0,,,,
x4,y2,3979,-20,王覃,王覃 (3979) - Elder brother,,0,,,,
x5,y2,1810,100,王罕,王罕 (1810) - Ego,entry,8,宋,,,恩蔭(籠統)
x6,y2,5133,-80,狄氏(王罕妻),狄氏(王罕妻) (5133) - Wife,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,3014,20,晁仲蔚,晁仲蔚 (3014) - Son-in-law,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,3830,20,唐淑問,唐淑問 (3830) - Son-in-law,,0,,,,
