group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,7326,-100,沈播,沈播 (7326) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,7082,60,王益,王益 (7082) - Father-in-law (wife's father),,0,,,,
x7,y3,,0,,,,0,,,,
x1,y2,37501,20,熊侔,熊侔 (37501) - Third daughter's husband,,0,,,,
x2,y2,37502,20,劉旦,劉旦 (37502) - Fourth daughter's husband,,0,,,,
x3,y2,37500,20,錢青箱,錢青箱 (37500) - Second daughter's husband,,0,,,,
x4,y2,7012,20,章甫,章甫 (7012) - First daughter's husband,,0,,,,
x5,y2,1445,100,沈季長,沈季長 (1445) - Ego,entry,9,宋,1027,1087,科舉: 正奏名進士 (1065)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x1,y1,,0,,,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,20884,40,沈銖,沈銖 (20884) - First son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,20896,40,沈錫,沈錫 (20896) - Second son,,0,,,,
x7,y1,37499,40,沈鏻,沈鏻 (37499) - Third son,,0,,,,
