group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,21808,-100,崔裔,崔裔 (21808) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,,0,,,,0,,,,
x5,y2,1679,100,崔嶧,崔嶧 (1679) - Ego,entry,5,宋,0,0,科舉: 進士(籠統)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x3,y1,21809,40,崔度,崔度 (21809) - Son,,0,,,,
x4,y1,21810,40,崔俞,崔俞 (21810) - Son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,21823,40,崔庶,崔庶 (21823) - Son,,0,,,,
x7,y1,1676,40,崔鈞,崔鈞 (1676) - Grandson,,2,宋,1050,1115,恩蔭(籠統)
