group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,3260,-100,朱葆光,朱葆光 (3260) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x9,y3,,0,,,,0,,,,
x1,y2,16459,40,朱正辭,朱正辭 (16459) - Fifth son,,0,,,,
x2,y2,37403,40,朱正用,朱正用 (37403) - Fourth son,,0,,,,
x3,y2,16469,-20,朱協,朱協 (16469) - Younger brother,,0,,,,
x4,y2,16462,-20,朱裕,朱裕 (16462) - Cousin (father's brother's son),,0,,,,
x5,y2,512,100,朱昂,朱昂 (512) - Ego,entry,15,宋,925,1007,
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,5031,20,朱氏(馮京母),朱氏(馮京母) (5031) - Daughter,,0,,,,
x2,y1,16460,40,朱頔,朱頔 (16460) - Nephew (brother's son),,0,,,,
x3,y1,37404,40,朱旬,朱旬 (37404) - Nephew (brother's son),,0,,,,
x4,y1,37405,40,朱正臣,朱正臣 (37405) - Nephew (brother's son),,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,4223,20,馮式,馮式 (4223) - Son-in-law,,0,,,,
x7,y1,16457,40,朱正彝,朱正彝 (16457) - First son,,0,,,,
x8,y1,16458,40,朱正基,朱正基 (16458) - Third son,,0,,,,
x9,y1,37402,40,朱正紀,朱正紀 (37402) - Third son,,0,,,,
