group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,18643,-100,許規,許規 (18643) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x1,y2,18648,40,許平,許平 (18648) - Fifth son,,0,,,,
x2,y2,797,40,許元,許元 (797) - Fourth son,,4,宋,989,1057,科舉學校: 恩賜出身、特賜出身等 (1050)
x3,y2,18645,-20,許迥,許迥 (18645) - Younger brother,,0,,,,
x4,y2,18644,-20,許遂,許遂 (18644) - Elder brother,,0,,,,
x5,y2,788,100,許逖,許逖 (788) - Ego,entry,8,宋,,,易代變節
x6,y2,45429,-80,王氏(許逖妻),王氏(許逖妻) (45429) - Wife,,0,,,,
x1,y1,,0,,,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,18647,40,許恢,許恢 (18647) - Second son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,18721,40,許怡,許怡 (18721) - Third son,,0,,,,
