group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y4,,0,,,,0,,,,
x2,y4,,0,,,,0,,,,
x3,y4,,0,,,,0,,,,
x4,y4,,0,,,,0,,,,
x5,y4,8107,-40,畢士安,畢士安 (8107) - Great-grandfather,,0,,,,
x6,y4,,0,,,,0,,,,
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,3709,-100,畢從古,畢從古 (3709) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x1,y2,18400,-20,畢仲愈,畢仲愈 (18400) - Younger brother,,0,,,,
x2,y2,1417,-20,畢仲游,畢仲游 (1417) - Younger brother,,7,宋,1047,1121,科舉: 進士(籠統)
x3,y2,18397,-20,畢仲偃,畢仲偃 (18397) - Elder brother,,0,,,,
x4,y2,18395,-20,畢仲達,畢仲達 (18395) - Elder brother,,0,,,,
x5,y2,1416,100,畢仲衍,畢仲衍 (1416) - Ego,entry,9,宋,1040,1082,科舉: 進士(籠統)
x6,y2,,0,,,,0,,,,
x1,y1,,0,,,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,34126,40,畢完,畢完 (34126) - First son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,34127,40,畢寀,畢寀 (34127) - Second son,,0,,,,
