group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,3959,-100,王衣,王衣 (3959) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x1,y2,37235,40,張蒙,張蒙 (37235) - Granddaughter's husband,,0,,,,
x2,y2,37234,40,范子永,范子永 (37234) - Granddaughter's husband,,0,,,,
x3,y2,37231,40,王延嗣,王延嗣 (37231) - Fifth son,,0,,,,
x4,y2,37230,40,王富,王富 (37230) - Fourth son,,0,,,,
x5,y2,1907,100,王次張,王次張 (1907) - Ego,entry,12,宋,1108,1181,恩蔭(籠統)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x1,y1,,0,,,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,37227,40,王延年,王延年 (37227) - First son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,37228,40,王延壽,王延壽 (37228) - Second son,,0,,,,
x7,y1,37229,40,王延之,王延之 (37229) - Third son,,0,,,,
