group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,3889,-100,祖,祖 (3889) - Father,,0,,,,
x1,y2,3894,-20,祖士龍,祖士龍 (3894) - Elder brother,,0,,,,
x2,y2,3540,-20,李宗訥,李宗訥 (3540) - First wife's father,,0,,,,
x3,y2,3541,-20,李宗諤,李宗諤 (3541) - Wife's uncle,,0,,,,
x4,y2,705,-20,向敏中,向敏中 (705) - Second wife's grandfather,,53,宋,948,1019,科舉: 進士(籠統) (980)
x5,y2,1716,100,祖士衡,祖士衡 (1716) - Ego,entry,5,宋,987,1025,科舉: 進士(籠統) (1008)
