group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y4,,0,,,,0,,,,
x2,y4,,0,,,,0,,,,
x3,y4,,0,,,,0,,,,
x4,y4,,0,,,,0,,,,
x5,y4,8116,-40,蘇頌,蘇頌 (8116) - Grandfather,,0,,,,
x6,y4,,0,,,,0,,,,
x7,y4,,0,,,,0,,,,
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,3754,-100,蘇京,蘇京 (3754) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x1,y2,37204,20,舒康老,舒康老 (37204) - Second daughter's husband,,0,,,,
x2,y2,17042,20,呂正己,呂正己 (17042) - First daughter's husband,,0,,,,
x3,y2,17032,-20,方元修,方元修 (17032) - Second wife's father,,0,,,,
x4,y2,17040,-20,歐陽恕,歐陽恕 (17040) - First wife's father,,0,,,,
x5,y2,1504,100,蘇師德,蘇師德 (1504) - Ego,entry,11,宋,1098,1177,徵辟
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x1,y1,,0,,,,0,,,,
x2,y1,,0,,,,0,,,,
x3,y1,21126,40,蘇溱,蘇溱 (21126) - Son,,0,,,,
x4,y1,3765,40,蘇玭,蘇玭 (3765) - First son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,17041,40,蘇璉,蘇璉 (17041) - Second son,,0,,,,
x7,y1,25582,40,蘇瑑,蘇瑑 (25582) - Third son,,0,,,,
