group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,1314,-100,呂公著,呂公著 (1314) - Father,,27,宋,1018,1089,科舉: 進士(籠統) (1042)
x5,y3,,0,,,,0,,,,
x6,y3,1960,60,吳充,吳充 (1960) - Father-in-law (wife's father),,14,宋,1021,1080,科舉: 進士(籠統) (1038)
x7,y3,7142,60,錢暄,錢暄 (7142) - Father-in-law (wife's father),,0,,,,
x3,y2,1304,-20,呂希純,呂希純 (1304) - Younger brother,,5,宋,0,0,科舉: 進士(籠統)
x4,y2,7052,-20,呂希哲,呂希哲 (7052) - Elder brother,,0,,,,
x5,y2,1305,100,呂希績,呂希績 (1305) - Ego,entry,5,宋,0,0,
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
