group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y4,,0,,,,0,,,,
x2,y4,,0,,,,0,,,,
x3,y4,,0,,,,0,,,,
x4,y4,,0,,,,0,,,,
x5,y4,3965,-20,王貫之,王貫之 (3965) - Grand-uncle (grandfather's brother),,0,,,,
x6,y4,,0,,,,0,,,,
x7,y4,,0,,,,0,,,,
x8,y4,,0,,,,0,,,,
x9,y4,,0,,,,0,,,,
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,7082,-100,王益,王益 (7082) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,4020,60,吳蕡,吳蕡 (4020) - Father-in-law (wife's father),,0,,,,
x7,y3,5134,-40,吳氏(王益妻),吳氏(王益妻) (5134) - Mother,,0,,,,
x8,y3,,0,,,,0,,,,
x9,y3,,0,,,,0,,,,
x1,y2,18876,-20,吳顯道,吳顯道 (18876) - Wife's elder brother,,0,,,,
x2,y2,7076,-20,王安國,王安國 (7076) - Younger brother,,0,,,,
x3,y2,1760,-20,王安禮,王安禮 (1760) - Younger brother,,12,宋,1034,1095,科舉: 進士(籠統) (1061)
x4,y2,21944,-20,王安仁,王安仁 (21944) - Elder brother,,0,,,,
x5,y2,1762,100,王安石,王安石 (1762) - Ego,entry,25,宋,1021,1086,科舉: 進士(籠統) (1042)
x6,y2,38653,-80,吳氏(王安石妻),吳氏(王安石妻) (38653) - Wife,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,,0,,,,0,,,,
x2,y1,20884,40,沈銖,沈銖 (20884) - Nephew (sister's son),,0,,,,
x3,y1,20896,40,沈錫,沈錫 (20896) - Nephew (sister's son),,0,,,,
x4,y1,3968,40,王雱,王雱 (3968) - Son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,21968,40,王滂,王滂 (21968) - Son,,0,,,,
x7,y1,7404,20,葉濤,葉濤 (7404) - Son-in-law,,0,,,,
x8,y1,8131,20,蔡卞,蔡卞 (8131) - Son-in-law,,0,,,,
x9,y1,1796,40,王珏,王珏 (1796) - Great-grandson,,3,宋,1112,1164,恩蔭(籠統) (1132)
