group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y4,,0,,,,0,,,,
x2,y4,,0,,,,0,,,,
x3,y4,,0,,,,0,,,,
x4,y4,,0,,,,0,,,,
x5,y4,14225,-40,陳翔,陳翔 (14225) - Great-great-grandfather,,0,,,,
x6,y4,,0,,,,0,,,,
x7,y4,,0,,,,0,,,,
x8,y4,,0,,,,0,,,,
x9,y4,,0,,,,0,,,,
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,3083,-100,陳省華,陳省華 (3083) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,118924,-40,馮氏(陳堯叟母),馮氏(陳堯叟母) (118924) - Mother,,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x9,y3,,0,,,,0,,,,
x1,y2,14210,40,陳博古,陳博古 (14210) - Fifth son,,0,,,,
x2,y2,14208,40,陳道古,陳道古 (14208) - Fourth son,,0,,,,
x3,y2,99,-20,陳堯咨,陳堯咨 (99) - Younger brother,,12,宋,0,0,科舉: 進士(籠統) (1000)
x4,y2,97,-20,陳堯叟,陳堯叟 (97) - Elder brother,,9,宋,961,1017,科舉: 進士(籠統) (989)
x5,y2,98,100,陳堯佐,陳堯佐 (98) - Ego,entry,18,宋,963,1044,科舉: 進士(籠統) (989)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,14384,40,陳漸,陳漸 (14384) - Nephew (brother's son),,0,,,,
x2,y1,22039,40,陳臻古,陳臻古 (22039) - Nephew (brother's son),,0,,,,
x3,y1,585,20,范宗傑,范宗傑 (585) - Son-in-law,,4,宋,0,1045,
x4,y1,8145,20,王舉正,王舉正 (8145) - Son-in-law,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,85,40,陳述古,陳述古 (85) - First son,,4,宋,1012,1090,科舉學校: 恩賜出身、特賜出身等
x7,y1,33,40,陳知儉,陳知儉 (33) - Grandson,,5,宋,1035,1080,恩蔭(籠統)
x8,y1,14224,40,陳知愚,陳知愚 (14224) - Grandson,,0,,,,
x9,y1,101,40,陳兗,陳兗 (101) - Great-grandson,,4,宋,,,恩蔭(籠統)
