group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y4,,0,,,,0,,,,
x4,y4,119817,-40,梁涓,梁涓 (119817) - Great-grandfather,,0,,,,
x5,y4,,0,,,,0,,,,
x6,y4,20071,-40,梁惟忠,梁惟忠 (20071) - Grandfather,,0,,,,
x7,y4,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,3564,-100,梁文度,梁文度 (3564) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,3997,-20,王禹偁,王禹偁 (3997) - Uncle (mother's brother),,0,,,,
x7,y3,46408,-40,衛氏(梁文度妻),衛氏(梁文度妻) (46408) - Mother,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,1137,40,梁適,梁適 (1137) - Youngest son,,11,宋,1000,1069,科舉: 進士(籠統)
x5,y2,1133,100,梁顥,梁顥 (1133) - Ego,entry,11,宋,963,1004,科舉: 進士(籠統) (985)
x6,y2,46409,-80,閻氏(梁顥妻),閻氏(梁顥妻) (46409) - Wife,,0,,,,
x7,y2,,0,,,,0,,,,
x3,y1,1135,40,梁固,梁固 (1135) - Son,,5,宋,987,1019,科舉: 進士(籠統) (1009)
x4,y1,3559,40,梁述,梁述 (3559) - Son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,37426,40,梁C,梁C (37426) - Son,,0,,,,
x7,y1,19101,20,洪鼎,洪鼎 (19101) - Son-in-law,,0,,,,
