group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x1,y3,,0,,,,0,,,,
x2,y3,,0,,,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,8098,-100,陸佃,陸佃 (8098) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x9,y3,,0,,,,0,,,,
x1,y2,,0,,,,0,,,,
x2,y2,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,3635,40,陸洸,陸洸 (3635) - Fourth son,,0,,,,
x5,y2,1284,100,陸寘,陸寘 (1284) - Ego,entry,16,宋,0,0,
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x8,y2,,0,,,,0,,,,
x9,y2,,0,,,,0,,,,
x1,y1,5196,20,陸氏(劉子翬妻),陸氏(劉子翬妻) (5196) - Daughter,,0,,,,
x2,y1,35765,20,陸氏(汪大定妻),陸氏(汪大定妻) (35765) - Daughter,,0,,,,
x3,y1,3636,40,陸流,陸流 (3636) - Son,,0,,,,
x4,y1,3641,40,陸沅,陸沅 (3641) - Son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,10354,20,汪大定,汪大定 (10354) - Son-in-law,,0,,,,
x7,y1,11827,20,劉子翬,劉子翬 (11827) - Son-in-law,,0,,,,
x8,y1,10238,40,陸杞,陸杞 (10238) - Grandson,,0,,,,
x9,y1,10355,40,陸,陸 (10355) - Grandson,,0,,,,
