group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,8016,-100,張昇,張昇 (8016) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,8043,60,范仲淹,范仲淹 (8043) - Father-in-law (wife's father),,0,,,,
x7,y3,,0,,,,0,,,,
x8,y3,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,,0,,,,0,,,,
x5,y2,315,100,張琬,張琬 (315) - Ego,entry,9,宋,0,0,
x6,y2,36888,-80,范氏(張琬妻),范氏(張琬妻) (36888) - Wife,,0,,,,
x7,y2,46790,-80,范氏(張琬妻),范氏(張琬妻) (46790) - Wife,,0,,,,
x8,y2,,0,,,,0,,,,
x3,y1,7230,20,韓璉,韓璉 (7230) - Son-in-law,,0,,,,
x4,y1,7345,20,宋頤年,宋頤年 (7345) - Son-in-law,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,36889,40,張威,張威 (36889) - First son,,0,,,,
x7,y1,4151,40,張戢,張戢 (4151) - Second son,,0,,,,
x8,y1,36890,40,張成,張成 (36890) - Third son,,0,,,,
